SMC;Humusform;HumusformCode;OTh_plot;OTh_pit;SoilType;North;East
Mesic;Mor (type 1);1;6;3.3;Podzol;7133231.917;729479.895
Mesic-moist;Peaty Mor;6;36.2;23;Histosol;7135328.591;731578.738
Mesic-moist;Peaty Mor;6;20.5;20;Leptosol;7135334.914;731927.126
Mesic;Mor (type 1);1;9.2;6.5;Podzol;7133576.358;728776.144
Mesic-moist;Peaty Mor;6;15.8;22.3;Gleysol;7133579.844;729133.506
Mesic;Mor (type 1);1;8.7;14;Podzol;7137088.151;731936.199
Mesic;Mor (type 1);1;5.9;4.3;Podzol;7135683.262;731581.976
Mesic;Mor (type 1);1;8.3;7;Regosol;7135685.066;731933.321
Mesic;Mor (type 1);1;18.2;12;Podzol;7137084;731576.984
Mesic-moist;Mor (type 1);1;23.5;11.3;Podzol;7136734.163;731583.743
Mesic;Mor (type 1);1;7.1;8.7;Podzol;7133236.881;735782.295
Mesic;Mor (type 1);1;7.1;5.3;Podzol;7133587.492;735774.275
Mesic;Mor (type 1);1;5.8;3.9;Podzol;7134284.312;729480.102
Mesic-moist;Peaty Mor;6;18.5;13.3;Regosol;7134279.634;729833.29
Mesic;Mor (type 1);1;7.2;9.3;Regosol;7132530.056;733682.465
Mesic;Mor (type 1);1;8.5;6;Regosol;7132532.311;734031.344
Mesic;Mor (type 1);1;5.7;5.2;Podzol;7138135.675;733678.22
Mesic-moist;Mor (type 1);1;7.8;7.3;Podzol;7138133.334;734033.096
Mesic;Mor (type 1);1;7.6;9.7;Podzol;7135683.977;731237.042
Mesic;Mor (type 1);1;14.5;4.2;Podzol;7135351.675;735428.472
Mesic;Mor (type 1);1;8.5;8.2;Podzol;7135331.985;735082.318
Mesic;Mor (type 1);1;9.2;20;Histosol;7136732.22;731931.267
Moist;Peaty Mor;6;25.7;14.7;Regosol;7133228.362;732627.825
Mesic-moist;Peaty Mor;6;12.7;15.3;Regosol;7133224.315;732279.272
Mesic-moist;Peat;7;25.9;42;Histosol;7133582.2;732281.06
Mesic;Peaty Mor;6;36.7;20;Arenosol;7134286.336;731930.622
Mesic-moist;Peaty Mor;6;25;27;Gleysol;7137078.664;734729.592
Mesic;Mor (type 1);1;8.2;8.7;Podzol;7136732.369;734733.644
Mesic;Mor (type 1);1;4.2;3.8;Podzol;7137082.223;734378.245
Mesic;Mor (type 1);1;3.6;4.2;Podzol;7136733.117;734380.683
Mesic-moist;Peaty Mor;6;29.5;22;Regosol;7133932.606;731936.463
Mesic;Mor (type 1);1;6.9;8.7;Podzol;7133929.849;731582.081
Mesic-moist;Peat;7;99;99;Histosol;7134283.484;731582.165
Dry;Mor (type 1);1;1.7;1;Podzol;7130776.267;729831.519
Moist;Peat;7;99;99;Histosol;7129381.709;731230.057
Mesic;Mor (type 1);1;6;8.7;Regosol;7130782.312;733331.039
Mesic;Mor (type 1);1;4.8;3.8;Podzol;7130430.196;732976.239
Mesic;Mor (type 1);1;3.9;8.3;Regosol;7130429.92;733329.944
Moist;Peat;7;57.8;99;Histosol;7136383.094;729829.321
Moist;Peat;7;86.3;99;Histosol;7136033.356;729830.644
Mesic-moist;Peaty Mor;6;19.6;9.7;Regosol;7136034.844;729480.076
Mesic;Mor (type 1);1;9.5;13.7;Podzol;7130069.659;735780.147
Mesic;Mor (type 1);1;4.8;2.9;Regosol;7129728.786;735771.216
Mesic;Mor (type 1);1;18.6;8;Regosol;7129732.793;732280.5
Mesic;Mor (type 1);1;13.9;7.3;Regosol;7130076.933;732277.493
Mesic;Mor (type 1);1;14.1;12;Histosol;7130075.123;732627.086
Mesic;Mor (type 1);1;6.1;8.3;Regosol;7129733.321;732628.713
Moist;Peat;7;99;99;Histosol;7137080.032;732630.807
