SampleDepth;cN;cC;C.N.ratio;North;East
0;1.12;36.61;32.7;7134279.832;729131.21
0;1.64;40.65;24.8;7133234.071;728432.386
0;1.29;38.34;29.7;7130083.168;733329.549
0;0.81;39.84;49.2;7136027.225;731228.928
0;0.78;38.32;49.1;7134987.059;734029.407
0;0.98;41.4;42.2;7131478.449;730527.381
0;0.65;24.77;38.1;7135327.603;732982.049
0;0.76;23.82;31.3;7136029.457;734032.198
0;1.54;40.28;26.2;7133580.27;728079.307
0;0.94;37.21;39.6;7133581.407;734031.549
0;1.2;44.18;36.8;7130084.585;732980.328
0;0.89;32.06;36;7135332.129;734378.53
0;1.07;52.09;48.7;7136384.909;731582.833
0;0.63;49.55;78.7;7137088.311;730529.815
0;0.83;34.2;41.2;7133933.798;735780.128
0;0.93;42.4;45.6;7131482.309;731930.188
0;1.03;43.56;42.3;7131829.063;733679.672
0;1.24;40.36;32.5;7132179.211;735454.614
0;0.98;47.6;48.6;7136377.364;734028.728
0;0.86;41.83;48.6;7131128.669;731584.864
0;0.82;27.92;34;7136382.601;732625.902
0;0.92;35.18;38.2;7135334.281;733330.581
0;1.16;48.5;41.8;7131834.472;730871.567
0;1.19;37.21;31.3;7137782.164;730880.205
0;0.96;39.72;41.4;7137087.53;732978.842
0;0.96;50.51;52.6;7131831.51;731228.335
0;1.11;48.71;43.9;7133931.857;730176.628
0;0.76;49.37;65;7134636.669;732279.89
0;0.76;48.62;64;7137411.928;732270.212
0;2.19;48.91;22.3;7132180.997;732624.295
0;0.74;29.35;39.7;7133581.272;733677.059
0;1.32;37.04;28.1;7133582.2;732281.06
0;1.31;37.05;28.3;7134279.634;729833.29
0;0.91;45.71;50.2;7127637.293;734729.557
0;0.85;34.63;40.7;7134277.928;732277.009
0;0.65;24.61;37.9;7131482.02;734032.546
0;0.98;27.76;28.3;7130076.933;732277.493
0;1.11;46.9;42.3;7133231.917;729479.895
0;0.56;20.66;36.9;7133586.555;731226.988
0;1.22;44;36.1;7131130.888;732280.222
0;1.09;28.37;26;7133931.24;729830.999
0;1.42;45.22;31.8;7133921.785;728082.498
0;1.1;43.18;39.3;7131839.415;734380.606
0;0.61;52.97;86.8;7129383.515;730529.537
0;0.62;28.74;46.4;7130782.748;731578.179
0;1.77;40.36;22.8;7133928.258;734030.946
0;1.03;35.41;34.4;7130429.446;731581.77
0;0.82;50.85;62;7134283.484;731582.165
0;1.21;45.99;38;7130782.312;733331.039
0;0.73;23.33;32;7129732.793;732280.5
0;0.93;32.32;34.75268817;7135325.87;729133.54
0;1.31;48.05;36.67938931;7134980.584;731580.908
0;1;44.33;44.33;7130430.83;732633.766
10;0.05;0.94;18.8;7138483.695;732631.472
10;0.04;0.7;17.5;7138130.739;731230.116
10;0.07;1.58;22.6;7138133.424;732280.852
10;0.07;1.75;25;7138135.675;733678.22
10;0.05;1.41;28.2;7138133.334;734033.096
10;0.06;1.38;23;7137779.8;732982.17
